,Author,collaborators
87,D P Alt,"['E R Campagnolo', 'M C Warwick', 'H L Marx', 'R P Cowart', 'H D Donnell', 'M D Bajani', 'S L Bragg', 'J E Esteban', 'J W Tappero', 'C A Bolin', 'D A Ashford', 'R L Zuerner', 'M V Palmer']"
88,J W Tappero,"['E R Campagnolo', 'M C Warwick', 'H L Marx', 'R P Cowart', 'H D Donnell', 'M D Bajani', 'S L Bragg', 'J E Esteban', 'D P Alt', 'C A Bolin', 'D A Ashford', 'J Guarner', 'W J Shieh', 'J Morgan', 'S R Zaki', 'Michael G Bruce', 'E J Sanders', 'J A D Leake', 'O Zaidel', 'T Aye', 'K A Shutt', 'C C Deseda', 'J G Rigau-Perez', 'B A Perkins', 'R A Spiegel']"
89,C A Bolin,"['E R Campagnolo', 'M C Warwick', 'H L Marx', 'R P Cowart', 'H D Donnell', 'M D Bajani', 'S L Bragg', 'J E Esteban', 'D P Alt', 'J W Tappero', 'D A Ashford', 'D A Haake', 'G Chao', 'R L Zuerner', 'J K Barnett', 'D Barnett', 'M Mazel', 'J Matsunaga', 'P N Levett', 'B M Naiman', 'D Alt', 'R Zuerner', 'C L Baldwin']"
90,D A Ashford,"['E R Campagnolo', 'M C Warwick', 'H L Marx', 'R P Cowart', 'H D Donnell', 'M D Bajani', 'S L Bragg', 'J E Esteban', 'D P Alt', 'J W Tappero', 'C A Bolin', 'W Tangkanakul', 'H L Smits', 'S Jatanasen', 'Michael G Bruce', 'E J Sanders', 'J A D Leake', 'O Zaidel', 'T Aye', 'K A Shutt', 'C C Deseda', 'J G Rigau-Perez', 'B A Perkins', 'R A Spiegel']"
91,N B Vanasco,"['G Sequeira', 'M L Dalla Fontana', 'S Fusco', 'M D Sequeira', 'D Enría', 'M F Schmeling', 'J Lottersberger', 'F Costa', 'A I Ko', 'H D Tarabla', 'M L Signorini', 'P Jacob', 'N Landolt', 'Y Chiani', 'C Cudos', 'H Tarabla']"
92,G Sequeira,"['N B Vanasco', 'M L Dalla Fontana', 'S Fusco', 'M D Sequeira', 'D Enría']"
93,M L Dalla Fontana,"['N B Vanasco', 'G Sequeira', 'S Fusco', 'M D Sequeira', 'D Enría']"
94,S Fusco,"['N B Vanasco', 'G Sequeira', 'M L Dalla Fontana', 'M D Sequeira', 'D Enría']"
95,M D Sequeira,"['N B Vanasco', 'G Sequeira', 'M L Dalla Fontana', 'S Fusco', 'D Enría']"
96,D Enría,"['N B Vanasco', 'G Sequeira', 'M L Dalla Fontana', 'S Fusco', 'M D Sequeira']"
97,S Petros,"['U Leonhardt', 'L Engelmann']"
98,U Leonhardt,"['S Petros', 'L Engelmann']"
99,L Engelmann,"['S Petros', 'U Leonhardt']"
100,L I Zhukova,"[""G V Mel'nik"", ""L D Degtiar'""]"
101,R L Zuerner,"['D A Haake', 'G Chao', 'J K Barnett', 'D Barnett', 'M Mazel', 'J Matsunaga', 'P N Levett', 'C A Bolin', 'D P Alt', 'M V Palmer']"
102,J K Barnett,"['D A Haake', 'G Chao', 'R L Zuerner', 'D Barnett', 'M Mazel', 'J Matsunaga', 'P N Levett', 'C A Bolin']"
103,D Barnett,"['D A Haake', 'G Chao', 'R L Zuerner', 'J K Barnett', 'M Mazel', 'J Matsunaga', 'P N Levett', 'C A Bolin']"
104,M Mazel,"['D A Haake', 'G Chao', 'R L Zuerner', 'J K Barnett', 'D Barnett', 'J Matsunaga', 'P N Levett', 'C A Bolin', 'H Guerreiro', 'J Croda', 'B Flannery', 'M Galvão Reis', 'A I Ko']"
105,J Truccolo,"['F Merien', 'G Baranton', 'P Perolat', 'O Serais']"
