,Author,collaborators
12731,Valentina Chisu,"['Ivana Piredda', 'Sara Sechi', 'Raffaella Cocco', 'Loris Bertoldi', 'Bruna Palmas']"
12732,Mohammad Noor,"['Fawad Rahim', 'Said Amin', 'Raza Ullah', 'Sheraz Zafar']"
12733,Fawad Rahim,"['Mohammad Noor', 'Said Amin', 'Raza Ullah', 'Sheraz Zafar']"
12734,Said Amin,"['Mohammad Noor', 'Fawad Rahim', 'Raza Ullah', 'Sheraz Zafar']"
12735,Raza Ullah,"['Mohammad Noor', 'Fawad Rahim', 'Said Amin', 'Sheraz Zafar']"
12736,Sheraz Zafar,"['Mohammad Noor', 'Fawad Rahim', 'Said Amin', 'Raza Ullah']"
12737,Damien R Brown,"['Ruwani Peiris', 'Claire Waller', 'Elizabeth M Stedman', 'Susanne E Fitzpatrick', 'Vicki L Krause', 'Anthony Dk Draper']"
12738,Ruwani Peiris,"['Damien R Brown', 'Claire Waller', 'Elizabeth M Stedman', 'Susanne E Fitzpatrick', 'Vicki L Krause', 'Anthony Dk Draper']"
12739,Claire Waller,"['Damien R Brown', 'Ruwani Peiris', 'Elizabeth M Stedman', 'Susanne E Fitzpatrick', 'Vicki L Krause', 'Anthony Dk Draper']"
12740,Elizabeth M Stedman,"['Damien R Brown', 'Ruwani Peiris', 'Claire Waller', 'Susanne E Fitzpatrick', 'Vicki L Krause', 'Anthony Dk Draper']"
12741,Susanne E Fitzpatrick,"['Damien R Brown', 'Ruwani Peiris', 'Claire Waller', 'Elizabeth M Stedman', 'Vicki L Krause', 'Anthony Dk Draper']"
12742,Vicki L Krause,"['Damien R Brown', 'Ruwani Peiris', 'Claire Waller', 'Elizabeth M Stedman', 'Susanne E Fitzpatrick', 'Anthony Dk Draper', 'Astrid M Stark', 'Michael Nohrenberg', 'Kimberley E McMahon', 'Thalia A Hewitt', 'Kelly Lomas']"
12743,Anthony Dk Draper,"['Damien R Brown', 'Ruwani Peiris', 'Claire Waller', 'Elizabeth M Stedman', 'Susanne E Fitzpatrick', 'Vicki L Krause', 'Astrid M Stark', 'Michael Nohrenberg', 'Kimberley E McMahon', 'Thalia A Hewitt', 'Kelly Lomas']"
12744,Roshini Raghu,"['Nitin Gupta', 'William Wilson', 'Prithvishree Ravindra', 'Kavitha Saravu']"
12745,John A Gonzales,"['Miel Sundararajan', 'Ying Qian', 'Thomas Hwang', 'Thuy Doan']"
12746,Miel Sundararajan,"['John A Gonzales', 'Ying Qian', 'Thomas Hwang', 'Thuy Doan']"
12747,Ying Qian,"['John A Gonzales', 'Miel Sundararajan', 'Thomas Hwang', 'Thuy Doan']"
12748,Thomas Hwang,"['John A Gonzales', 'Miel Sundararajan', 'Ying Qian', 'Thuy Doan']"
12749,Thuy Doan,"['John A Gonzales', 'Miel Sundararajan', 'Ying Qian', 'Thomas Hwang']"
12750,Rohitha Muthugala,"['Kalpa Dheerasekara', 'Aresha Manamperi', 'Sunethra Gunasena', 'Geethani Galagoda']"
12751,Kalpa Dheerasekara,"['Rohitha Muthugala', 'Aresha Manamperi', 'Sunethra Gunasena', 'Geethani Galagoda']"
12752,Aresha Manamperi,"['Rohitha Muthugala', 'Kalpa Dheerasekara', 'Sunethra Gunasena', 'Geethani Galagoda']"
12753,Sunethra Gunasena,"['Rohitha Muthugala', 'Kalpa Dheerasekara', 'Aresha Manamperi', 'Geethani Galagoda']"
12754,Geethani Galagoda,"['Rohitha Muthugala', 'Kalpa Dheerasekara', 'Aresha Manamperi', 'Sunethra Gunasena']"
12755,Renato Victoriano,"['Jaqueline S Cruz', 'Nivison Nery', 'Gielson A Sacramento', 'Albino L S Montenegro', 'Juliet O Santana', 'Federico Costa', 'Albert I Ko', 'Mitermayer G Reis', 'Elsio A Wunder']"
12756,Albino L S Montenegro,"['Jaqueline S Cruz', 'Nivison Nery', 'Gielson A Sacramento', 'Renato Victoriano', 'Juliet O Santana', 'Federico Costa', 'Albert I Ko', 'Mitermayer G Reis', 'Elsio A Wunder']"
12757,Juliet O Santana,"['Jaqueline S Cruz', 'Nivison Nery', 'Gielson A Sacramento', 'Renato Victoriano', 'Albino L S Montenegro', 'Federico Costa', 'Albert I Ko', 'Mitermayer G Reis', 'Elsio A Wunder']"
12758,G Hugo P S Kraijenhoff,"['J Kitty G C M van Zoest', 'Jurriaan van den Brand', 'Els L L M De Schryver']"
12759,J Kitty G C M van Zoest,"['G Hugo P S Kraijenhoff', 'Jurriaan van den Brand', 'Els L L M De Schryver']"
12760,Jurriaan van den Brand,"['G Hugo P S Kraijenhoff', 'J Kitty G C M van Zoest', 'Els L L M De Schryver']"
12761,Els L L M De Schryver,"['G Hugo P S Kraijenhoff', 'J Kitty G C M van Zoest', 'Jurriaan van den Brand']"
12762,Natalia Cuadros,"['Rodolfo Reyes', 'Karla Yohannessen']"
12763,B Kishansing Naik,"['Sulakshana Sulakshana', 'Justin Aryabhat Gopaldas', 'Sai Devvrat']"
12764,Sulakshana Sulakshana,"['B Kishansing Naik', 'Justin Aryabhat Gopaldas', 'Sai Devvrat']"
12765,Justin Aryabhat Gopaldas,"['B Kishansing Naik', 'Sulakshana Sulakshana', 'Sai Devvrat']"
12766,Sai Devvrat,"['B Kishansing Naik', 'Sulakshana Sulakshana', 'Justin Aryabhat Gopaldas']"
12767,Jonas Etougbetche,"['Henri-Joël Dossou', 'Marine Le Guyader', 'Philippe Gauthier', 'Sylvestre Badou', 'Gualbert Houemenou', 'Zouheira Djelouadji', 'Gauthier Dobigny']"
12768,Gualbert Houemenou,"['Henri-Joël Dossou', 'Marine Le Guyader', 'Philippe Gauthier', 'Sylvestre Badou', 'Jonas Etougbetche', 'Zouheira Djelouadji', 'Gauthier Dobigny']"
12769,Zouheira Djelouadji,"['Henri-Joël Dossou', 'Marine Le Guyader', 'Philippe Gauthier', 'Sylvestre Badou', 'Jonas Etougbetche', 'Gualbert Houemenou', 'Gauthier Dobigny', 'Elena Harran', 'Christo Hilan', 'Florence Ayral', 'Marta Garcia-Lopez', 'Celine Lorioux', 'Anais Soares', 'Sabine Trombert-Paolantoni', 'Mathieu Picardeau', 'Pascale Bourhy']"
12770,Darrell O Bayles,"['Ellie J Putz', 'Luis G V Fernandes', 'Sathesh K Sivasankaran', 'David P Alt', 'John D Lippolis', 'Jarlath E Nally', 'Karen LeCount', 'Kami Fox', 'Tammy Anderson', 'Tod Stuber', 'Jessica Hicks', 'Linda K Schlater']"
12771,John D Lippolis,"['Ellie J Putz', 'Luis G V Fernandes', 'Sathesh K Sivasankaran', 'Darrell O Bayles', 'David P Alt', 'Jarlath E Nally']"
12772,James Gong,"['Christine Griebsch', 'Nicolle Kirkwood', 'Jacqueline M Norris', 'Michael P Ward']"
12773,Christine Griebsch,"['James Gong', 'Nicolle Kirkwood', 'Jacqueline M Norris', 'Michael P Ward']"
12774,Nicolle Kirkwood,"['James Gong', 'Christine Griebsch', 'Jacqueline M Norris', 'Michael P Ward']"
12775,Jacqueline M Norris,"['James Gong', 'Christine Griebsch', 'Nicolle Kirkwood', 'Michael P Ward']"
12776,Chara E Rydzak,"['Ana Santos Lima', 'Gustavo S P Meirelles']"
12777,Ana Santos Lima,"['Chara E Rydzak', 'Gustavo S P Meirelles']"
12778,Gustavo S P Meirelles,"['Chara E Rydzak', 'Ana Santos Lima']"
12779,Manuel Calvopiña,"['Eduardo Vásconez', 'Marco Coral-Almeida', 'Daniel Romero-Alvarez', 'Miguel Angel Garcia-Bereguiain', 'Alberto Orlando']"
12780,Eduardo Vásconez,"['Manuel Calvopiña', 'Marco Coral-Almeida', 'Daniel Romero-Alvarez', 'Miguel Angel Garcia-Bereguiain', 'Alberto Orlando']"
12781,Marco Coral-Almeida,"['Manuel Calvopiña', 'Eduardo Vásconez', 'Daniel Romero-Alvarez', 'Miguel Angel Garcia-Bereguiain', 'Alberto Orlando']"
12782,Daniel Romero-Alvarez,"['Manuel Calvopiña', 'Eduardo Vásconez', 'Marco Coral-Almeida', 'Miguel Angel Garcia-Bereguiain', 'Alberto Orlando']"
12783,Miguel Angel Garcia-Bereguiain,"['Manuel Calvopiña', 'Eduardo Vásconez', 'Marco Coral-Almeida', 'Daniel Romero-Alvarez', 'Alberto Orlando']"
12784,Alberto Orlando,"['Manuel Calvopiña', 'Eduardo Vásconez', 'Marco Coral-Almeida', 'Daniel Romero-Alvarez', 'Miguel Angel Garcia-Bereguiain']"
12785,Elizabeth A Martin,"['Johanna C Heseltine', 'Kate E Creevy']"
12786,Johanna C Heseltine,"['Elizabeth A Martin', 'Kate E Creevy']"
12787,Kate E Creevy,"['Elizabeth A Martin', 'Johanna C Heseltine']"
12788,Tetsuya Suzuki,"['Shinichiro Morioka', 'Tatsuya Kikuchi', 'Lubna Sato', 'Hidetoshi Nomoto', 'Kei Yamamoto', 'Nobuo Koizumi', 'Kayoko Hayakawa', 'Satoshi Kutsuna', 'Norio Ohmagari']"
12789,Shinichiro Morioka,"['Tetsuya Suzuki', 'Tatsuya Kikuchi', 'Lubna Sato', 'Hidetoshi Nomoto', 'Kei Yamamoto', 'Nobuo Koizumi', 'Kayoko Hayakawa', 'Satoshi Kutsuna', 'Norio Ohmagari']"
12790,Tatsuya Kikuchi,"['Tetsuya Suzuki', 'Shinichiro Morioka', 'Lubna Sato', 'Hidetoshi Nomoto', 'Kei Yamamoto', 'Nobuo Koizumi', 'Kayoko Hayakawa', 'Satoshi Kutsuna', 'Norio Ohmagari']"
12791,Lubna Sato,"['Tetsuya Suzuki', 'Shinichiro Morioka', 'Tatsuya Kikuchi', 'Hidetoshi Nomoto', 'Kei Yamamoto', 'Nobuo Koizumi', 'Kayoko Hayakawa', 'Satoshi Kutsuna', 'Norio Ohmagari']"
12792,Hidetoshi Nomoto,"['Tetsuya Suzuki', 'Shinichiro Morioka', 'Tatsuya Kikuchi', 'Lubna Sato', 'Kei Yamamoto', 'Nobuo Koizumi', 'Kayoko Hayakawa', 'Satoshi Kutsuna', 'Norio Ohmagari']"
12793,Jean-Marie Turmel,"['Claude Olive', 'Bastien Bigeard', 'Sylvie Abel', 'Rishika Banydeen', 'Laura Daoud', 'Pierre-Marie Fayolle', 'André Cabié']"
12794,Bastien Bigeard,"['Jean-Marie Turmel', 'Claude Olive', 'Sylvie Abel', 'Rishika Banydeen', 'Laura Daoud', 'Pierre-Marie Fayolle', 'André Cabié']"
12795,Rishika Banydeen,"['Jean-Marie Turmel', 'Claude Olive', 'Bastien Bigeard', 'Sylvie Abel', 'Laura Daoud', 'Pierre-Marie Fayolle', 'André Cabié']"
12796,Laura Daoud,"['Jean-Marie Turmel', 'Claude Olive', 'Bastien Bigeard', 'Sylvie Abel', 'Rishika Banydeen', 'Pierre-Marie Fayolle', 'André Cabié']"
12797,Pierre-Marie Fayolle,"['Jean-Marie Turmel', 'Claude Olive', 'Bastien Bigeard', 'Sylvie Abel', 'Rishika Banydeen', 'Laura Daoud', 'André Cabié']"
12798,Ahmad Hussein Jumah Badawi,"['Noraini Philip', 'Sivan Padma Priya', 'Mohd Hafidz Mohd Izhar', 'Norhafizah Mohtarrudin', 'Tengku Azmi Tengku Ibrahim', 'Zamberi Sekawi', 'Vasantha Kumari Neela']"
12799,Mohd Hafidz Mohd Izhar,"['Noraini Philip', 'Sivan Padma Priya', 'Ahmad Hussein Jumah Badawi', 'Norhafizah Mohtarrudin', 'Tengku Azmi Tengku Ibrahim', 'Zamberi Sekawi', 'Vasantha Kumari Neela']"
12800,Norhafizah Mohtarrudin,"['Noraini Philip', 'Sivan Padma Priya', 'Ahmad Hussein Jumah Badawi', 'Mohd Hafidz Mohd Izhar', 'Tengku Azmi Tengku Ibrahim', 'Zamberi Sekawi', 'Vasantha Kumari Neela']"
12801,Tengku Azmi Tengku Ibrahim,"['Noraini Philip', 'Sivan Padma Priya', 'Ahmad Hussein Jumah Badawi', 'Mohd Hafidz Mohd Izhar', 'Norhafizah Mohtarrudin', 'Zamberi Sekawi', 'Vasantha Kumari Neela']"
12802,Nathan E Stone,"['Carina M Hall', 'Marielisa Ortiz', 'Shelby M Hutton', 'Ella Santana-Propper', 'Kimberly R Celona', 'Charles H D Williamson', 'Nicole Bratsch', 'Luis G V Fernandes', 'Joseph D Busch', 'Talima Pearson', 'Sarai Rivera-Garcia', 'Fred Soltero', 'Renee Galloway', 'Jason W Sahl', 'Jarlath E Nally', 'David M Wagner']"
12803,Carina M Hall,"['Nathan E Stone', 'Marielisa Ortiz', 'Shelby M Hutton', 'Ella Santana-Propper', 'Kimberly R Celona', 'Charles H D Williamson', 'Nicole Bratsch', 'Luis G V Fernandes', 'Joseph D Busch', 'Talima Pearson', 'Sarai Rivera-Garcia', 'Fred Soltero', 'Renee Galloway', 'Jason W Sahl', 'Jarlath E Nally', 'David M Wagner']"
12804,Marielisa Ortiz,"['Nathan E Stone', 'Carina M Hall', 'Shelby M Hutton', 'Ella Santana-Propper', 'Kimberly R Celona', 'Charles H D Williamson', 'Nicole Bratsch', 'Luis G V Fernandes', 'Joseph D Busch', 'Talima Pearson', 'Sarai Rivera-Garcia', 'Fred Soltero', 'Renee Galloway', 'Jason W Sahl', 'Jarlath E Nally', 'David M Wagner']"
12805,Shelby M Hutton,"['Nathan E Stone', 'Carina M Hall', 'Marielisa Ortiz', 'Ella Santana-Propper', 'Kimberly R Celona', 'Charles H D Williamson', 'Nicole Bratsch', 'Luis G V Fernandes', 'Joseph D Busch', 'Talima Pearson', 'Sarai Rivera-Garcia', 'Fred Soltero', 'Renee Galloway', 'Jason W Sahl', 'Jarlath E Nally', 'David M Wagner']"
12806,Ella Santana-Propper,"['Nathan E Stone', 'Carina M Hall', 'Marielisa Ortiz', 'Shelby M Hutton', 'Kimberly R Celona', 'Charles H D Williamson', 'Nicole Bratsch', 'Luis G V Fernandes', 'Joseph D Busch', 'Talima Pearson', 'Sarai Rivera-Garcia', 'Fred Soltero', 'Renee Galloway', 'Jason W Sahl', 'Jarlath E Nally', 'David M Wagner']"
12807,Kimberly R Celona,"['Nathan E Stone', 'Carina M Hall', 'Marielisa Ortiz', 'Shelby M Hutton', 'Ella Santana-Propper', 'Charles H D Williamson', 'Nicole Bratsch', 'Luis G V Fernandes', 'Joseph D Busch', 'Talima Pearson', 'Sarai Rivera-Garcia', 'Fred Soltero', 'Renee Galloway', 'Jason W Sahl', 'Jarlath E Nally', 'David M Wagner']"
12808,Charles H D Williamson,"['Nathan E Stone', 'Carina M Hall', 'Marielisa Ortiz', 'Shelby M Hutton', 'Ella Santana-Propper', 'Kimberly R Celona', 'Nicole Bratsch', 'Luis G V Fernandes', 'Joseph D Busch', 'Talima Pearson', 'Sarai Rivera-Garcia', 'Fred Soltero', 'Renee Galloway', 'Jason W Sahl', 'Jarlath E Nally', 'David M Wagner']"
12809,Nicole Bratsch,"['Nathan E Stone', 'Carina M Hall', 'Marielisa Ortiz', 'Shelby M Hutton', 'Ella Santana-Propper', 'Kimberly R Celona', 'Charles H D Williamson', 'Luis G V Fernandes', 'Joseph D Busch', 'Talima Pearson', 'Sarai Rivera-Garcia', 'Fred Soltero', 'Renee Galloway', 'Jason W Sahl', 'Jarlath E Nally', 'David M Wagner']"
12810,Joseph D Busch,"['Nathan E Stone', 'Carina M Hall', 'Marielisa Ortiz', 'Shelby M Hutton', 'Ella Santana-Propper', 'Kimberly R Celona', 'Charles H D Williamson', 'Nicole Bratsch', 'Luis G V Fernandes', 'Talima Pearson', 'Sarai Rivera-Garcia', 'Fred Soltero', 'Renee Galloway', 'Jason W Sahl', 'Jarlath E Nally', 'David M Wagner']"
12811,Sarai Rivera-Garcia,"['Nathan E Stone', 'Carina M Hall', 'Marielisa Ortiz', 'Shelby M Hutton', 'Ella Santana-Propper', 'Kimberly R Celona', 'Charles H D Williamson', 'Nicole Bratsch', 'Luis G V Fernandes', 'Joseph D Busch', 'Talima Pearson', 'Fred Soltero', 'Renee Galloway', 'Jason W Sahl', 'Jarlath E Nally', 'David M Wagner']"
12812,Fred Soltero,"['Nathan E Stone', 'Carina M Hall', 'Marielisa Ortiz', 'Shelby M Hutton', 'Ella Santana-Propper', 'Kimberly R Celona', 'Charles H D Williamson', 'Nicole Bratsch', 'Luis G V Fernandes', 'Joseph D Busch', 'Talima Pearson', 'Sarai Rivera-Garcia', 'Renee Galloway', 'Jason W Sahl', 'Jarlath E Nally', 'David M Wagner']"
12813,David M Wagner,"['Nathan E Stone', 'Carina M Hall', 'Marielisa Ortiz', 'Shelby M Hutton', 'Ella Santana-Propper', 'Kimberly R Celona', 'Charles H D Williamson', 'Nicole Bratsch', 'Luis G V Fernandes', 'Joseph D Busch', 'Talima Pearson', 'Sarai Rivera-Garcia', 'Fred Soltero', 'Renee Galloway', 'Jason W Sahl', 'Jarlath E Nally']"
12814,Rogers Wambi,"['William Worodria', 'James Muleme', 'Siya Aggrey', 'Lawrence Mugisha']"
12815,William Worodria,"['Rogers Wambi', 'James Muleme', 'Siya Aggrey', 'Lawrence Mugisha']"
12816,James Muleme,"['Rogers Wambi', 'William Worodria', 'Siya Aggrey', 'Lawrence Mugisha']"
12817,Siya Aggrey,"['Rogers Wambi', 'William Worodria', 'James Muleme', 'Lawrence Mugisha']"
12818,Shaofeng Deng,"['Krystle L Reagan', 'Junda Sheng', 'Jamie Sebastian', 'Zhe Wang', 'Sara N Huebner', 'Louise A Wenke', 'Sarah R Michalak', 'Thomas Strohmer', 'Jane E Sykes']"
12819,Junda Sheng,"['Krystle L Reagan', 'Shaofeng Deng', 'Jamie Sebastian', 'Zhe Wang', 'Sara N Huebner', 'Louise A Wenke', 'Sarah R Michalak', 'Thomas Strohmer', 'Jane E Sykes']"
12820,Jamie Sebastian,"['Krystle L Reagan', 'Shaofeng Deng', 'Junda Sheng', 'Zhe Wang', 'Sara N Huebner', 'Louise A Wenke', 'Sarah R Michalak', 'Thomas Strohmer', 'Jane E Sykes']"
12821,Zhe Wang,"['Krystle L Reagan', 'Shaofeng Deng', 'Junda Sheng', 'Jamie Sebastian', 'Sara N Huebner', 'Louise A Wenke', 'Sarah R Michalak', 'Thomas Strohmer', 'Jane E Sykes']"
12822,Sara N Huebner,"['Krystle L Reagan', 'Shaofeng Deng', 'Junda Sheng', 'Jamie Sebastian', 'Zhe Wang', 'Louise A Wenke', 'Sarah R Michalak', 'Thomas Strohmer', 'Jane E Sykes']"
12823,Louise A Wenke,"['Krystle L Reagan', 'Shaofeng Deng', 'Junda Sheng', 'Jamie Sebastian', 'Zhe Wang', 'Sara N Huebner', 'Sarah R Michalak', 'Thomas Strohmer', 'Jane E Sykes']"
12824,Sarah R Michalak,"['Krystle L Reagan', 'Shaofeng Deng', 'Junda Sheng', 'Jamie Sebastian', 'Zhe Wang', 'Sara N Huebner', 'Louise A Wenke', 'Thomas Strohmer', 'Jane E Sykes']"
12825,Thomas Strohmer,"['Krystle L Reagan', 'Shaofeng Deng', 'Junda Sheng', 'Jamie Sebastian', 'Zhe Wang', 'Sara N Huebner', 'Louise A Wenke', 'Sarah R Michalak', 'Jane E Sykes']"
12826,Rontgene M Solante,"['Nobuo Saito', 'Ferdinand D Guzman', 'Elizabeth O Telan', 'Dorcas V Umipig', 'Joy P Calayo', 'Carina H Frayco', 'Jezreel C Lazaro', 'Maricel R Ribo', 'Alexis Q Dimapilis', 'Virginia O Dimapilis', 'Annavi M Villanueva', 'Jaira L Mauhay', 'Motoi Suzuki', 'Michio Yasunami', 'Nobuo Koizumi', 'Emi Kitashoji', 'Kentaro Sakashita', 'Ikkoh Yasuda', 'Akira Nishiyama', 'Chris Smith', 'Koya Ariyoshi', 'Christopher M Parry', 'Masatomo Morita', 'Harimurti Nuradji', 'Susan M Noor', 'N L P Indi Dharmayanti', 'Patriantariksina Randusari', 'Jung-Jung Mu', 'Hoang Thi Thu Ha', 'Takayuki Wada', 'Yukihiro Akeda', 'Kozue Miura']"
12827,Ferdinand D Guzman,"['Nobuo Saito', 'Rontgene M Solante', 'Elizabeth O Telan', 'Dorcas V Umipig', 'Joy P Calayo', 'Carina H Frayco', 'Jezreel C Lazaro', 'Maricel R Ribo', 'Alexis Q Dimapilis', 'Virginia O Dimapilis', 'Annavi M Villanueva', 'Jaira L Mauhay', 'Motoi Suzuki', 'Michio Yasunami', 'Nobuo Koizumi', 'Emi Kitashoji', 'Kentaro Sakashita', 'Ikkoh Yasuda', 'Akira Nishiyama', 'Chris Smith', 'Koya Ariyoshi', 'Christopher M Parry']"
12828,Dorcas V Umipig,"['Nobuo Saito', 'Rontgene M Solante', 'Ferdinand D Guzman', 'Elizabeth O Telan', 'Joy P Calayo', 'Carina H Frayco', 'Jezreel C Lazaro', 'Maricel R Ribo', 'Alexis Q Dimapilis', 'Virginia O Dimapilis', 'Annavi M Villanueva', 'Jaira L Mauhay', 'Motoi Suzuki', 'Michio Yasunami', 'Nobuo Koizumi', 'Emi Kitashoji', 'Kentaro Sakashita', 'Ikkoh Yasuda', 'Akira Nishiyama', 'Chris Smith', 'Koya Ariyoshi', 'Christopher M Parry']"
12829,Joy P Calayo,"['Nobuo Saito', 'Rontgene M Solante', 'Ferdinand D Guzman', 'Elizabeth O Telan', 'Dorcas V Umipig', 'Carina H Frayco', 'Jezreel C Lazaro', 'Maricel R Ribo', 'Alexis Q Dimapilis', 'Virginia O Dimapilis', 'Annavi M Villanueva', 'Jaira L Mauhay', 'Motoi Suzuki', 'Michio Yasunami', 'Nobuo Koizumi', 'Emi Kitashoji', 'Kentaro Sakashita', 'Ikkoh Yasuda', 'Akira Nishiyama', 'Chris Smith', 'Koya Ariyoshi', 'Christopher M Parry']"
12830,Carina H Frayco,"['Nobuo Saito', 'Rontgene M Solante', 'Ferdinand D Guzman', 'Elizabeth O Telan', 'Dorcas V Umipig', 'Joy P Calayo', 'Jezreel C Lazaro', 'Maricel R Ribo', 'Alexis Q Dimapilis', 'Virginia O Dimapilis', 'Annavi M Villanueva', 'Jaira L Mauhay', 'Motoi Suzuki', 'Michio Yasunami', 'Nobuo Koizumi', 'Emi Kitashoji', 'Kentaro Sakashita', 'Ikkoh Yasuda', 'Akira Nishiyama', 'Chris Smith', 'Koya Ariyoshi', 'Christopher M Parry']"
12831,Jezreel C Lazaro,"['Nobuo Saito', 'Rontgene M Solante', 'Ferdinand D Guzman', 'Elizabeth O Telan', 'Dorcas V Umipig', 'Joy P Calayo', 'Carina H Frayco', 'Maricel R Ribo', 'Alexis Q Dimapilis', 'Virginia O Dimapilis', 'Annavi M Villanueva', 'Jaira L Mauhay', 'Motoi Suzuki', 'Michio Yasunami', 'Nobuo Koizumi', 'Emi Kitashoji', 'Kentaro Sakashita', 'Ikkoh Yasuda', 'Akira Nishiyama', 'Chris Smith', 'Koya Ariyoshi', 'Christopher M Parry']"
12832,Alexis Q Dimapilis,"['Nobuo Saito', 'Rontgene M Solante', 'Ferdinand D Guzman', 'Elizabeth O Telan', 'Dorcas V Umipig', 'Joy P Calayo', 'Carina H Frayco', 'Jezreel C Lazaro', 'Maricel R Ribo', 'Virginia O Dimapilis', 'Annavi M Villanueva', 'Jaira L Mauhay', 'Motoi Suzuki', 'Michio Yasunami', 'Nobuo Koizumi', 'Emi Kitashoji', 'Kentaro Sakashita', 'Ikkoh Yasuda', 'Akira Nishiyama', 'Chris Smith', 'Koya Ariyoshi', 'Christopher M Parry']"
12833,Virginia O Dimapilis,"['Nobuo Saito', 'Rontgene M Solante', 'Ferdinand D Guzman', 'Elizabeth O Telan', 'Dorcas V Umipig', 'Joy P Calayo', 'Carina H Frayco', 'Jezreel C Lazaro', 'Maricel R Ribo', 'Alexis Q Dimapilis', 'Annavi M Villanueva', 'Jaira L Mauhay', 'Motoi Suzuki', 'Michio Yasunami', 'Nobuo Koizumi', 'Emi Kitashoji', 'Kentaro Sakashita', 'Ikkoh Yasuda', 'Akira Nishiyama', 'Chris Smith', 'Koya Ariyoshi', 'Christopher M Parry']"
12834,Annavi M Villanueva,"['Nobuo Saito', 'Rontgene M Solante', 'Ferdinand D Guzman', 'Elizabeth O Telan', 'Dorcas V Umipig', 'Joy P Calayo', 'Carina H Frayco', 'Jezreel C Lazaro', 'Maricel R Ribo', 'Alexis Q Dimapilis', 'Virginia O Dimapilis', 'Jaira L Mauhay', 'Motoi Suzuki', 'Michio Yasunami', 'Nobuo Koizumi', 'Emi Kitashoji', 'Kentaro Sakashita', 'Ikkoh Yasuda', 'Akira Nishiyama', 'Chris Smith', 'Koya Ariyoshi', 'Christopher M Parry']"
12835,Jaira L Mauhay,"['Nobuo Saito', 'Rontgene M Solante', 'Ferdinand D Guzman', 'Elizabeth O Telan', 'Dorcas V Umipig', 'Joy P Calayo', 'Carina H Frayco', 'Jezreel C Lazaro', 'Maricel R Ribo', 'Alexis Q Dimapilis', 'Virginia O Dimapilis', 'Annavi M Villanueva', 'Motoi Suzuki', 'Michio Yasunami', 'Nobuo Koizumi', 'Emi Kitashoji', 'Kentaro Sakashita', 'Ikkoh Yasuda', 'Akira Nishiyama', 'Chris Smith', 'Koya Ariyoshi', 'Christopher M Parry']"
12836,Michio Yasunami,"['Nobuo Saito', 'Rontgene M Solante', 'Ferdinand D Guzman', 'Elizabeth O Telan', 'Dorcas V Umipig', 'Joy P Calayo', 'Carina H Frayco', 'Jezreel C Lazaro', 'Maricel R Ribo', 'Alexis Q Dimapilis', 'Virginia O Dimapilis', 'Annavi M Villanueva', 'Jaira L Mauhay', 'Motoi Suzuki', 'Nobuo Koizumi', 'Emi Kitashoji', 'Kentaro Sakashita', 'Ikkoh Yasuda', 'Akira Nishiyama', 'Chris Smith', 'Koya Ariyoshi', 'Christopher M Parry']"
12837,Kentaro Sakashita,"['Nobuo Saito', 'Rontgene M Solante', 'Ferdinand D Guzman', 'Elizabeth O Telan', 'Dorcas V Umipig', 'Joy P Calayo', 'Carina H Frayco', 'Jezreel C Lazaro', 'Maricel R Ribo', 'Alexis Q Dimapilis', 'Virginia O Dimapilis', 'Annavi M Villanueva', 'Jaira L Mauhay', 'Motoi Suzuki', 'Michio Yasunami', 'Nobuo Koizumi', 'Emi Kitashoji', 'Ikkoh Yasuda', 'Akira Nishiyama', 'Chris Smith', 'Koya Ariyoshi', 'Christopher M Parry']"
12838,Ikkoh Yasuda,"['Nobuo Saito', 'Rontgene M Solante', 'Ferdinand D Guzman', 'Elizabeth O Telan', 'Dorcas V Umipig', 'Joy P Calayo', 'Carina H Frayco', 'Jezreel C Lazaro', 'Maricel R Ribo', 'Alexis Q Dimapilis', 'Virginia O Dimapilis', 'Annavi M Villanueva', 'Jaira L Mauhay', 'Motoi Suzuki', 'Michio Yasunami', 'Nobuo Koizumi', 'Emi Kitashoji', 'Kentaro Sakashita', 'Akira Nishiyama', 'Chris Smith', 'Koya Ariyoshi', 'Christopher M Parry']"
12839,Akira Nishiyama,"['Nobuo Saito', 'Rontgene M Solante', 'Ferdinand D Guzman', 'Elizabeth O Telan', 'Dorcas V Umipig', 'Joy P Calayo', 'Carina H Frayco', 'Jezreel C Lazaro', 'Maricel R Ribo', 'Alexis Q Dimapilis', 'Virginia O Dimapilis', 'Annavi M Villanueva', 'Jaira L Mauhay', 'Motoi Suzuki', 'Michio Yasunami', 'Nobuo Koizumi', 'Emi Kitashoji', 'Kentaro Sakashita', 'Ikkoh Yasuda', 'Chris Smith', 'Koya Ariyoshi', 'Christopher M Parry']"
12840,Harimurti Nuradji,"['Nobuo Koizumi', 'Masatomo Morita', 'Susan M Noor', 'N L P Indi Dharmayanti', 'Patriantariksina Randusari', 'Jung-Jung Mu', 'Rontgene M Solante', 'Nobuo Saito', 'Koya Ariyoshi', 'Hoang Thi Thu Ha', 'Takayuki Wada', 'Yukihiro Akeda', 'Kozue Miura']"
